id_str,screen_name
9.9175E+17,PaulTarosDist40
8.20459E+17,freetobe66
24592489,k_kotlarczyk
276512402,phelps777
3950427929,jCPub19
1473092383,s_billiard
8.30778E+17,betsyamc
182074888,AnnalyseKB
1.00389E+18,109e6d19d1eb449
1.00515E+18,MuradRico
2325924517,jason_meister
3234451638,pfannk
1.00513E+18,JoshuaAubuchon1
1.00511E+18,Realist_Cynic
7.85219E+17,unionjiw
222722607,zodisgreat
9.89479E+17,BraytonLisa
9.50641E+17,grapenanner
9.84067E+17,Republicansmsrk
8.00087E+17,1776Stonewall
308260726,Wookzilla
772505262,DeborahPatriot
7.25146E+17,DoomsdayMama
169194573,rmgford
9.98752E+17,IAM1AMERICA
9.26487E+17,CliffPicotte
600322977,doaktreekd
8.8895E+17,finleycisco
4691004967,586_7489
16452682,nelswort
4510200382,Temujin52
8.04187E+17,Edmypurefreedom
4835761280,obars91
170400756,iceses1970
3433022621,Don_Vito_08
41515924,Gruetznah
4241653875,glocks67
9.65582E+17,KenANarita
9.8515E+17,ArtofWarfare
4487911395,CynthiaNDunbar
238732976,SPRBWL4LIONS
9.60607E+17,SteamBoxEDU
1.0044E+18,jada85009897
8.11387E+17,NagleChet
7.12375E+17,paigeskate
1.00341E+18,TOPsecretEYES
259986817,thyefischman
8.23882E+17,AJStein
9.7998E+17,SteveAn126
2888220676,Cristy517Hughes
8.19444E+17,ArmedPatriotMan
30783314,SVanKoevering
2850756700,LindsayMEngle
9.75371E+17,KM3505
1.00122E+18,chelsea_vc
203547919,JeffSHazlett
1.00409E+18,Jeanjeanreturns
33281126,lariannhortop
8.09988E+17,Obeth58836129
8554542,powderhownd1492
3131250886,kuchecoo
1.00212E+18,KarsenLance
9.91706E+17,bluesammie1
9.71075E+17,CastleMichaela
9.97176E+17,DerrickFrailing
8.41942E+17,Robin1762
164160570,MichelleUgenti
213962726,Daveylee7734
1175075323,dzhn67109
8.10246E+17,schaafsma_kim
1.00376E+18,JamesWRogers21
2952075364,36125cb6acd94c1
3351194723,StandWithSean
893458146,bearclaw8888
8.16756E+17,DonnaMAbercrom1
351417922,stjoecountygop
1.00142E+18,Benjami25574513
9.18644E+17,TallisMorgan
9.99303E+17,TobiBillionz
9.54262E+17,HuckSawyer1
9.71808E+17,sskeeganrf
125443764,LeapInc
9.92099E+17,FoodEpsa
9.84813E+17,RagnarsRed
8.10629E+17,gsouthbay2688
9.17375E+17,Carrie_T13
2180073318,twroblew
169564902,ElizVanHolt
8.5633E+17,Usemyspork
9.89895E+17,christi70271529
1.0015E+18,AndrewTiller6
9.47963E+17,VPampalona
7.12658E+17,cbsellssouthmi
1315836216,MonroeCountyGOP
3057138299,alexand76965397
9.52586E+17,JohnsonClara12
9.79201E+17,lauraduda14
1.00329E+18,Blackhorse1110
1.00323E+18,heltongrey
8.66074E+17,Unitedminingal
2575740420,BreanaCNoble
8.36055E+17,Chris_Shorkey
7.60998E+17,chris_young300
8.21043E+17,kz11t8
9.11253E+17,Muhamma13399309
